,label_finbert,Open,High,Low,Adj Close,Volume,label_finbert t-2,label_finbert t-3,label_finbert t-4,label_finbert t-5,Open t-2,Open t-3,Open t-4,Open t-5,High t-2,High t-3,High t-4,High t-5,Low t-2,Low t-3,Low t-4,Low t-5,Adj Close t-2,Adj Close t-3,Adj Close t-4,Adj Close t-5,Volume t-2,Volume t-3,Volume t-4,Volume t-5,Close t-1,Close t-2,Close t-3,Close t-4
534,1.0,115.5199966430664,117.01000213623048,114.33999633789062,115.19000244140624,16945600.0,1.0,0.0,2.0,2.0,114.5199966430664,114.5199966430664,114.5999984741211,112.97000122070312,117.9800033569336,117.9800033569336,115.20999908447266,115.4800033569336,114.08999633789062,114.08999633789062,112.30999755859376,111.20999908447266,117.01000213623048,117.01000213623048,115.0199966430664,114.87999725341795,25615100.0,25615100.0,22804400.0,33478600.0,115.19000244140624,117.01000213623048,117.01000213623048,115.0199966430664
535,0.0,116.75,116.75,113.04000091552734,113.22000122070312,15347900.0,1.0,1.0,0.0,2.0,115.5199966430664,114.5199966430664,114.5199966430664,114.5999984741211,117.01000213623048,117.9800033569336,117.9800033569336,115.20999908447266,114.33999633789062,114.08999633789062,114.08999633789062,112.30999755859376,115.19000244140624,117.01000213623048,117.01000213623048,115.0199966430664,16945600.0,25615100.0,25615100.0,22804400.0,113.22000122070312,115.19000244140624,117.01000213623048,117.01000213623048
536,0.0,118.302001953125,120.05999755859376,117.8000030517578,119.86000061035156,18342700.0,0.0,1.0,1.0,0.0,116.75,115.5199966430664,114.5199966430664,114.5199966430664,116.75,117.01000213623048,117.9800033569336,117.9800033569336,113.04000091552734,114.33999633789062,114.08999633789062,114.08999633789062,113.22000122070312,115.19000244140624,117.01000213623048,117.01000213623048,15347900.0,16945600.0,25615100.0,25615100.0,119.86000061035156,113.22000122070312,115.19000244140624,117.01000213623048
537,2.0,118.302001953125,120.05999755859376,117.8000030517578,119.86000061035156,18342700.0,0.0,0.0,1.0,1.0,118.302001953125,116.75,115.5199966430664,114.5199966430664,120.05999755859376,116.75,117.01000213623048,117.9800033569336,117.8000030517578,113.04000091552734,114.33999633789062,114.08999633789062,119.86000061035156,113.22000122070312,115.19000244140624,117.01000213623048,18342700.0,15347900.0,16945600.0,25615100.0,119.86000061035156,119.86000061035156,113.22000122070312,115.19000244140624
538,2.0,111.69000244140624,113.1500015258789,109.77999877929688,111.1999969482422,21918200.0,2.0,0.0,0.0,1.0,118.302001953125,118.302001953125,116.75,115.5199966430664,120.05999755859376,120.05999755859376,116.75,117.01000213623048,117.8000030517578,117.8000030517578,113.04000091552734,114.33999633789062,119.86000061035156,119.86000061035156,113.22000122070312,115.19000244140624,18342700.0,18342700.0,15347900.0,16945600.0,111.1999969482422,119.86000061035156,119.86000061035156,113.22000122070312
539,1.0,108.0500030517578,109.52999877929688,105.80999755859376,106.33000183105467,15982200.0,2.0,2.0,0.0,0.0,111.69000244140624,118.302001953125,118.302001953125,116.75,113.1500015258789,120.05999755859376,120.05999755859376,116.75,109.77999877929688,117.8000030517578,117.8000030517578,113.04000091552734,111.1999969482422,119.86000061035156,119.86000061035156,113.22000122070312,21918200.0,18342700.0,18342700.0,15347900.0,106.33000183105467,111.1999969482422,119.86000061035156,119.86000061035156
540,1.0,108.0500030517578,109.52999877929688,105.80999755859376,106.33000183105467,15982200.0,1.0,2.0,2.0,0.0,108.0500030517578,111.69000244140624,118.302001953125,118.302001953125,109.52999877929688,113.1500015258789,120.05999755859376,120.05999755859376,105.80999755859376,109.77999877929688,117.8000030517578,117.8000030517578,106.33000183105467,111.1999969482422,119.86000061035156,119.86000061035156,15982200.0,21918200.0,18342700.0,18342700.0,106.33000183105467,106.33000183105467,111.1999969482422,119.86000061035156
541,2.0,103.81999969482422,106.27999877929688,103.22000122070312,105.4499969482422,15337500.0,1.0,1.0,2.0,2.0,108.0500030517578,108.0500030517578,111.69000244140624,118.302001953125,109.52999877929688,109.52999877929688,113.1500015258789,120.05999755859376,105.80999755859376,105.80999755859376,109.77999877929688,117.8000030517578,106.33000183105467,106.33000183105467,111.1999969482422,119.86000061035156,15982200.0,15982200.0,21918200.0,18342700.0,105.4499969482422,106.33000183105467,106.33000183105467,111.1999969482422
542,1.0,107.0999984741211,107.13999938964844,103.5500030517578,105.11000061035156,14329500.0,2.0,1.0,1.0,2.0,103.81999969482422,108.0500030517578,108.0500030517578,111.69000244140624,106.27999877929688,109.52999877929688,109.52999877929688,113.1500015258789,103.22000122070312,105.80999755859376,105.80999755859376,109.77999877929688,105.4499969482422,106.33000183105467,106.33000183105467,111.1999969482422,15337500.0,15982200.0,15982200.0,21918200.0,105.11000061035156,105.4499969482422,106.33000183105467,106.33000183105467
543,1.0,108.5,109.80999755859376,107.75,108.45999908447266,16281300.0,1.0,2.0,1.0,1.0,107.0999984741211,103.81999969482422,108.0500030517578,108.0500030517578,107.13999938964844,106.27999877929688,109.52999877929688,109.52999877929688,103.5500030517578,103.22000122070312,105.80999755859376,105.80999755859376,105.11000061035156,105.4499969482422,106.33000183105467,106.33000183105467,14329500.0,15337500.0,15982200.0,15982200.0,108.45999908447266,105.11000061035156,105.4499969482422,106.33000183105467
